user_id,created_at,company_id,language,activated_at,state
0,2013-01-01 20:59:00,5737,english,2013-01-01 21:01:00,active
1,2013-01-01 13:07:00,28,english,null,pending
2,2013-01-01 10:59:00,51,english,null,pending
3,2013-01-01 18:40:00,2800,german,2013-01-01 18:42:00,active
4,2013-01-01 14:37:00,5110,indian,2013-01-01 14:39:00,active
5,2013-01-01 13:39:00,2463,spanish,null,pending
6,2013-01-01 18:37:00,11699,english,2013-01-01 18:38:00,active
7,2013-01-01 16:19:00,4765,french,2013-01-01 16:20:00,active
8,2013-01-01 04:38:00,2698,french,2013-01-01 04:40:00,active
9,2013-01-01 08:04:00,1,french,null,pending
10,2013-01-01 09:36:00,10,arabic,null,pending
11,2013-01-01 08:07:00,3745,english,2013-01-01 08:09:00,active
12,2013-01-01 18:05:00,903,english,null,pending
13,2013-01-02 12:27:00,4025,english,2013-01-02 12:29:00,active
14,2013-01-02 17:17:00,5077,portugese,null,pending
15,2013-01-02 15:39:00,4259,english,2013-01-02 15:41:00,active
16,2013-01-02 17:45:00,10408,german,null,pending
17,2013-01-02 10:56:00,5025,japanese,2013-01-02 10:57:00,active
18,2013-01-02 08:18:00,3,japanese,null,pending
19,2013-01-02 09:54:00,326,english,2013-01-02 09:55:00,active
20,2013-01-02 09:41:00,7,italian,2013-01-02 09:43:00,active
21,2013-01-02 09:29:00,2606,english,2013-01-02 09:30:00,active
22,2013-01-02 17:36:00,545,german,2013-01-02 17:38:00,active
23,2013-01-02 20:04:00,15,english,null,pending
24,2013-01-03 13:08:00,11301,english,null,pending
25,2013-01-03 05:38:00,2,japanese,null,pending
26,2013-01-03 12:11:00,9833,english,null,pending
27,2013-01-03 16:14:00,6,japanese,2013-01-03 16:15:00,active
28,2013-01-03 09:53:00,1167,english,null,pending
29,2013-01-03 13:00:00,1208,english,null,pending
30,2013-01-03 08:28:00,4148,english,2013-01-03 08:29:00,active
31,2013-01-03 15:45:00,39,arabic,2013-01-03 15:46:00,active
32,2013-01-03 15:55:00,6518,english,null,pending
33,2013-01-03 12:16:00,10768,english,2013-01-03 12:18:00,active
34,2013-01-03 11:24:00,11353,japanese,null,pending
35,2013-01-03 16:06:00,1891,english,2013-01-03 16:07:00,active
36,2013-01-03 11:51:00,2,english,2013-01-03 11:53:00,active
37,2013-01-03 07:13:00,7943,spanish,null,pending
38,2013-01-04 08:51:00,7618,french,null,pending
39,2013-01-04 08:53:00,6322,chinese,null,pending
40,2013-01-04 12:59:00,361,english,null,pending
41,2013-01-04 13:06:00,5049,english,null,pending
42,2013-01-04 19:52:00,3,english,null,pending
43,2013-01-04 13:40:00,1486,english,null,pending
44,2013-01-04 13:52:00,706,japanese,null,pending
45,2013-01-04 07:46:00,7432,japanese,null,pending
46,2013-01-04 13:48:00,719,english,null,pending
47,2013-01-04 10:39:00,1,indian,2013-01-04 10:41:00,active
48,2013-01-04 09:55:00,27,english,null,pending
49,2013-01-05 14:33:00,8727,spanish,2013-01-05 14:34:00,active
50,2013-01-05 17:41:00,12526,spanish,2013-01-05 17:43:00,active
51,2013-01-05 21:57:00,11855,english,null,pending
52,2013-01-06 13:35:00,6,english,2013-01-06 13:37:00,active
53,2013-01-06 01:29:00,13119,english,null,pending
54,2013-01-06 02:52:00,2,english,2013-01-06 02:54:00,active
55,2013-01-06 14:35:00,2233,german,2013-01-06 14:37:00,active
56,2013-01-07 08:03:00,4224,english,null,pending
57,2013-01-07 07:10:00,3184,portugese,null,pending
58,2013-01-07 18:24:00,6855,german,null,pending
59,2013-01-07 20:47:00,2296,chinese,2013-01-07 20:49:00,active
60,2013-01-07 18:11:00,3427,english,null,pending
61,2013-01-07 11:54:00,9260,spanish,null,pending
62,2013-01-07 18:12:00,4,japanese,null,pending
63,2013-01-07 18:37:00,5,english,null,pending
64,2013-01-07 09:56:00,9229,english,2013-01-07 09:57:00,active
65,2013-01-07 16:05:00,12736,portugese,null,pending
66,2013-01-07 15:37:00,7927,french,2013-01-07 15:39:00,active
67,2013-01-07 13:46:00,10818,english,2013-01-07 13:47:00,active
68,2013-01-07 14:38:00,11005,spanish,null,pending
69,2013-01-08 02:48:00,128,english,null,pending
70,2013-01-08 18:57:00,502,english,null,pending
71,2013-01-08 18:30:00,3640,japanese,null,pending
72,2013-01-08 08:40:00,9024,english,null,pending
73,2013-01-08 13:36:00,33,english,null,pending
74,2013-01-08 21:11:00,1,english,null,pending
75,2013-01-08 14:45:00,26,english,null,pending
76,2013-01-08 11:05:00,215,english,null,pending
77,2013-01-08 14:21:00,21,english,null,pending
78,2013-01-08 12:58:00,1,english,2013-01-08 13:00:00,active
79,2013-01-08 14:28:00,5870,chinese,null,pending
80,2013-01-08 06:19:00,925,spanish,2013-01-08 06:20:00,active
81,2013-01-08 10:19:00,10217,russian,null,pending
82,2013-01-09 08:52:00,12403,english,null,pending
83,2013-01-09 16:40:00,2343,english,2013-01-09 16:42:00,active
84,2013-01-09 17:14:00,9501,english,2013-01-09 17:16:00,active
85,2013-01-09 08:43:00,9531,spanish,null,pending
86,2013-01-09 13:24:00,1,indian,2013-01-09 13:25:00,active
87,2013-01-09 09:54:00,95,english,2013-01-09 09:56:00,active
88,2013-01-09 15:43:00,3629,english,null,pending
89,2013-01-09 17:17:00,100,french,null,pending
90,2013-01-09 12:27:00,789,english,2013-01-09 12:29:00,active
91,2013-01-09 12:34:00,5895,arabic,null,pending
92,2013-01-09 10:45:00,1,english,2013-01-09 10:46:00,active
93,2013-01-10 18:05:00,11406,italian,null,pending
94,2013-01-10 18:07:00,1,english,null,pending
95,2013-01-10 11:01:00,11485,english,null,pending
96,2013-01-10 19:23:00,9728,indian,null,pending
97,2013-01-10 12:32:00,7578,french,2013-01-10 12:33:00,active
98,2013-01-10 10:23:00,9136,portugese,2013-01-10 10:25:00,active
99,2013-01-10 11:00:00,7,english,2013-01-10 11:02:00,active
100,2013-01-10 12:51:00,1,english,null,pending
